Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors
169627,53,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
180000,56,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
150000,44,Splitsko-dalmatinska,Okrug,Okrug Gornji,2-sobni,U stambenoj zgradi,Jednoetažni
310000,80,Splitsko-dalmatinska,Okrug,Okrug Gornji,4-sobni,U stambenoj zgradi,Jednoetažni
185000,53,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
305000,61,Splitsko-dalmatinska,Okrug,Okrug Gornji,3-sobni,U stambenoj zgradi,Jednoetažni
240000,54,Splitsko-dalmatinska,Okrug,Okrug Gornji,3-sobni,U stambenoj zgradi,Jednoetažni
182000,70,Splitsko-dalmatinska,Okrug,Okrug Donji,3-sobni,U stambenoj zgradi,Jednoetažni
310000,104,Splitsko-dalmatinska,Kaštela,Kaštel Gomilica,4-sobni,U stambenoj zgradi,Jednoetažni
165000,60,Splitsko-dalmatinska,Seget,Seget Vranjica,2-sobni,U stambenoj zgradi,Jednoetažni
405000,90,Splitsko-dalmatinska,Split,Žnjan,3-sobni,U stambenoj zgradi,Jednoetažni
450000,77,Splitsko-dalmatinska,Omiš,Omiš,2-sobni,U stambenoj zgradi,Jednoetažni
220000,44,Splitsko-dalmatinska,Split,Smrdečac,1-sobni,U stambenoj zgradi,Jednoetažni
320000,82,Splitsko-dalmatinska,Split,Lučac,3-sobni,U stambenoj zgradi,Jednoetažni
230000,50,Splitsko-dalmatinska,Baška Voda,Baška Voda,3-sobni,U stambenoj zgradi,Jednoetažni
256000,69,Splitsko-dalmatinska,Makarska,Makarska,3-sobni,U stambenoj zgradi,Jednoetažni
249500,65,Splitsko-dalmatinska,Makarska,Makarska,3-sobni,U stambenoj zgradi,Jednoetažni
275150,52,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
310000,70,Splitsko-dalmatinska,Makarska,Makarska,3-sobni,U stambenoj zgradi,Jednoetažni
302839,97,Splitsko-dalmatinska,Makarska,Makarska,4-sobni,U stambenoj zgradi,Jednoetažni
437925,88,Splitsko-dalmatinska,Podstrana,Podstrana,4-sobni,U stambenoj zgradi,Jednoetažni
345000,80,Splitsko-dalmatinska,Marina,Marina,3-sobni,U stambenoj zgradi,Jednoetažni
385500,107,Splitsko-dalmatinska,Marina,Marina,3-sobni,U stambenoj zgradi,Jednoetažni
390000,119,Splitsko-dalmatinska,Marina,Marina,3-sobni,U stambenoj zgradi,Jednoetažni
341000,91,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
332000,91,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
240000,61,Splitsko-dalmatinska,Split,Sukoišan,2-sobni,U stambenoj zgradi,Jednoetažni
230000,76,Splitsko-dalmatinska,Okrug,Okrug Gornji,2-sobni,U stambenoj zgradi,Jednoetažni
